adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[10752, 28, 18]",530915,en,49.006,25-12-2019,1917,FALSE,7.992,11551
FALSE,[35],26123,en,49.004,07-12-2009,American Pie Presents: The Book of Love,FALSE,5.3,1642
FALSE,"[53, 80, 18]",109091,en,48.992,25-10-2013,The Counselor,FALSE,5.27,1738
FALSE,"[35, 18]",626332,en,48.933,11-03-2023,Flamin' Hot,FALSE,8.228,438
FALSE,"[28, 80, 18]",1157049,ja,48.915,12-10-2023,Jigen Daisuke,FALSE,7.2,32
FALSE,"[28, 80, 53]",241554,en,48.915,11-03-2015,Run All Night,FALSE,6.403,2658
FALSE,[18],510,en,48.901,19-11-1975,One Flew Over the Cuckoo's Nest,FALSE,8.422,9786
FALSE,"[80, 18, 9648, 53]",169917,en,48.879,18-09-2014,A Walk Among the Tombstones,FALSE,6.321,2661
FALSE,"[28, 12, 14, 16]",113082,ja,48.872,03-02-2012,Berserk: The Golden Age Arc I - The Egg of the King,FALSE,7.256,444
FALSE,"[28, 35]",59108,en,62.833,02-11-2011,Tower Heist,FALSE,6.077,2753
FALSE,"[16, 10751, 35, 12, 9648]",420821,en,43.112,20-05-2022,Chip 'n Dale: Rescue Rangers,FALSE,7.001,1107
FALSE,"[53, 28]",763285,en,68.394,16-03-2022,Ambulance,FALSE,6.683,1790
FALSE,"[28, 53, 878]",500664,en,55.536,31-05-2018,Upgrade,FALSE,7.491,3983
FALSE,"[28, 18]",1205921,en,62.524,15-12-2023,Secret Society 3: 'Til Death,FALSE,0,0
FALSE,"[28, 12]",9342,en,50.721,16-07-1998,The Mask of Zorro,FALSE,6.559,3748
FALSE,"[14, 18, 9648]",141,en,50.669,19-01-2001,Donnie Darko,FALSE,7.783,11672
FALSE,"[35, 18]",637,it,53.666,20-12-1997,Life Is Beautiful,FALSE,8.455,12405
FALSE,"[18, 10402]",614934,en,53.192,22-06-2022,Elvis,FALSE,7.583,2878
FALSE,"[14, 18, 53, 9648, 10749]",251,en,50.807,13-07-1990,Ghost,FALSE,7.2,5172
FALSE,"[28, 12, 18, 14, 53, 9648]",397567,ko,64.564,20-12-2017,Along with the Gods: The Two Worlds,FALSE,8.106,907
FALSE,"[28, 80]",606403,ko,52.83,12-01-2022,Special Delivery,FALSE,7.1,149
FALSE,"[18, 80, 53]",22803,en,59.256,15-10-2009,Law Abiding Citizen,FALSE,7.377,4729
FALSE,"[10749, 18]",762975,en,56.639,29-07-2022,Purple Hearts,FALSE,8.149,2195
FALSE,"[28, 80, 18, 53]",395990,en,50.802,02-03-2018,Death Wish,FALSE,6.14,2394
FALSE,[53],910571,en,49.185,28-09-2023,Fair Play,FALSE,6.429,302
FALSE,"[35, 18, 10751]",11881,en,62.944,04-06-1947,Miracle on 34th Street,FALSE,7.345,657
FALSE,"[80, 28, 878]",198184,en,68.048,04-03-2015,Chappie,FALSE,6.775,7510
FALSE,"[27, 9648, 53]",298312,en,42.537,10-09-2015,The Visit,FALSE,6.32,4429
FALSE,"[18, 35]",705861,en,50.515,03-06-2022,Hustle,FALSE,7.779,2250
FALSE,"[18, 35, 80]",540901,en,48.532,12-09-2019,Hustlers,FALSE,6.486,2780
FALSE,"[12, 28, 53]",955,en,48.517,24-05-2000,Mission: Impossible II,FALSE,6.121,6248
FALSE,"[16, 14, 10751]",896221,en,48.42,26-11-2021,Trolls Holiday in Harmony,FALSE,7.2,172
FALSE,"[18, 27]",40132,it,48.365,20-04-1978,Emanuelle and the White Slave Trade,FALSE,4.7,36
FALSE,[35],4258,en,48.363,11-04-2013,Scary Movie 5,FALSE,4.81,2639
FALSE,[18],197158,pt,48.349,01-01-1981,Porno,FALSE,4.6,58
